r0:0.804664041:CC(h,b), CC(a,h) -> CC(a,b)
r446:0.015801354:An(h,b), As(a,h) -> An(a,b)
r447:0.015801354:An(g,b), As(g,a) -> An(a,b)
r448:0.015688325:Iw(b,h), X(a,h) -> ML(a,b)
r449:0.015472085:Pr(a,b), T(a,b) -> Sa(a,b)
r450:0.015452617:D(h,b), I(a,h) -> T(a,b)
r451:0.015443905:E(a,b), Q(a,b) -> Rg(a,b)
r452:0.01534998:J(a,b), T(a,b) -> Pr(a,b)
r453:0.015346329:D(a,b), P(a,b) -> Te(a,b)
r454:0.015285674:B(a,h), D(h,b) -> Sa(a,b)
r455:0.015151515:U(a,b), X(b,a) -> D(a,b)
r456:0.015134371:Iw(a,h), U(h,b) -> T(a,b)
r457:0.01502517:ML(b,a), X(b,a) -> P(a,b)
r458:0.014945474:Q(b,a), Rg(a,b) -> Ra(a,b)
r459:0.014814085:Q(a,b), Rg(b,a) -> Ra(a,b)
r460:0.014781238:Q(b,a), Rg(b,a) -> Ra(a,b)
r461:0.014745828:Pr(a,b), Sa(a,b) -> J(a,b)
r462:0.014634547:ML(b,a), X(b,a) -> U(a,b)
r463:0.014552331:D(a,b), ML(b,a) -> U(a,b)
r464:0.014479017:A(g,b), C(g,a) -> ML(a,b)
r465:0.014391796:D(g,b), O(g,a) -> T(a,b)
r466:0.014250354:X(b,h), Z(h,a) -> T(a,b)
r467:0.014250354:B(a,h), I(h,b) -> T(a,b)
r468:0.014084507:D(b,a), P(b,a) -> X(a,b)
r469:0.014026054:Mp(b,h), N(h,a) -> P(a,b)
r470:0.013927211:Q(a,b), Rg(a,b) -> Ra(a,b)
r471:0.013910771:D(a,h), Iw(h,b) -> P(a,b)
r472:0.013596549:An(a,h), I(b,h) -> ML(a,b)
r473:0.01336675:Iw(h,b), Z(a,h) -> Iw(a,b)
r474:0.013204572:E(b,a), Rg(b,a) -> Ra(a,b)
r475:0.013193636:Mp(b,a) -> J(a,b)
r476:0.013171656:A(g,b), Pr(g,a) -> ML(a,b)
r477:0.01316867:Ra(b,a), Rg(a,b) -> E(a,b)
r478:0.013144453:E(b,a), Q(b,a) -> B(a,b)
r479:0.013102991:CC(a,h), I(b,h) -> CC(a,b)
r480:0.012988867:Q(b,a), Ra(a,b) -> Rg(a,b)
r481:0.012950083:As(g,b), ML(g,a) -> P(a,b)
r482:0.012908006:CC(a,g), I(g,b) -> CC(a,b)
r483:0.012874679:Q(b,a), Ra(b,a) -> Rg(a,b)
r484:0.012872029:E(b,a), Q(a,b) -> B(a,b)
r485:0.012846132:Q(a,b), Ra(b,a) -> Rg(a,b)
r486:0.012805588:As(h,b), J(a,h) -> J(a,b)
r487:0.012805588:As(b,h), J(a,h) -> J(a,b)
r488:0.012796372:As(b,h), ML(h,a) -> P(a,b)
r489:0.012779448:P(b,a), X(a,b) -> ML(a,b)
r490:0.012716233:B(a,b), Rg(b,a) -> Q(a,b)
r491:0.012679017:E(b,a), Rg(a,b) -> Ra(a,b)
r492:0.012678046:B(b,a), Rg(a,b) -> Q(a,b)
r493:0.012644544:Ra(b,a), Rg(b,a) -> E(a,b)
r494:0.012642662:Iw(h,a), X(b,h) -> P(a,b)
r495:0.012531328:Iw(b,a), ML(b,a) -> Iw(a,b)
r496:0.012531328:Iw(b,a), ML(a,b) -> Iw(a,b)
r497:0.012448925:B(b,a), Rg(b,a) -> Q(a,b)
r498:0.01241754:An(b,h), Mp(h,a) -> J(a,b)
r499:0.012190969:E(b,a), Ra(b,a) -> B(a,b)
r500:0.012186309:E(a,b), Rg(b,a) -> Ra(a,b)
r501:0.012153176:Ra(a,b), Rg(b,a) -> E(a,b)
r502:0.012152103:B(b,a), B(a,b) -> GG(a,b)
r503:0.012105243:B(a,b), Rg(a,b) -> Q(a,b)
r504:0.012103911:Q(a,b), Ra(a,b) -> Rg(a,b)
r505:0.012066249:An(b,h), I(a,h) -> P(a,b)
r506:0.011799748:GG(b,a), Rg(b,a) -> Q(a,b)
r507:0.011782333:E(b,a), Ra(a,b) -> B(a,b)
r508:0.011685187:GG(a,b), Rg(b,a) -> Q(a,b)
r509:0.011627907:B(b,a), Rg(b,a) -> Ra(a,b)
r510:0.011613438:D(a,b), U(a,b) -> Te(a,b)
r511:0.011598303:Iw(a,h), Te(h,b) -> T(a,b)
r512:0.011557461:J(a,b), T(a,b) -> Sa(a,b)
r513:0.011475878:E(a,b), Ra(b,a) -> Rg(a,b)
r514:0.011421499:I(a,h), T(h,b) -> T(a,b)
r515:0.01140672:I(h,a), Iw(b,h) -> ML(a,b)
r516:0.011303318:GG(b,a), Rg(a,b) -> Q(a,b)
r517:0.011286682:An(h,a), As(b,h) -> An(a,b)
r518:0.011286682:An(g,a), As(g,b) -> An(a,b)
r519:0.011286682:An(b,h), As(h,a) -> An(a,b)
r520:0.011286682:An(b,h), As(a,h) -> An(a,b)
r521:0.011278195:Iw(b,a), U(b,a) -> Iw(a,b)
r522:0.011278195:Iw(b,a), U(a,b) -> Iw(a,b)
r523:0.011265132:GG(a,b), Rg(a,b) -> Q(a,b)
r524:0.011237486:Q(a,b), Ra(b,a) -> B(a,b)
r525:0.011067893:D(g,b), Z(g,a) -> T(a,b)
r526:0.011019126:E(b,a), Ra(a,b) -> Rg(a,b)
r527:0.01100381:B(b,a), Rg(a,b) -> Ra(a,b)
r528:0.010998229:I(a,h), Sa(h,b) -> Sa(a,b)
r529:0.010997171:I(g,a), T(g,b) -> T(a,b)
r530:0.010971787:Te(a,b), X(b,a) -> D(a,b)
r531:0.01095185:D(h,b), Iw(a,h) -> P(a,b)
r532:0.010896956:Q(b,a), Ra(b,a) -> B(a,b)
r533:0.010874995:Iw(g,a), J(g,b) -> P(a,b)
r534:0.01077388:E(a,b), Rg(a,b) -> Ra(a,b)
r535:0.01075304:As(a,h), P(b,h) -> ML(a,b)
r536:0.010744587:Ra(a,b), Rg(a,b) -> E(a,b)
r537:0.010741033:B(a,b), Rg(b,a) -> Ra(a,b)
r538:0.010622304:K(b,h), Mp(a,h) -> ML(a,b)
r539:0.010622304:As(h,a), P(b,h) -> ML(a,b)
r540:0.010590922:E(b,a), Ra(b,a) -> Rg(a,b)
r541:0.010532202:I(g,a), Sa(g,b) -> Sa(a,b)
r542:0.010473095:D(b,a), U(b,a) -> X(a,b)
r543:0.010369141:U(a,b), X(b,a) -> Te(a,b)
r544:0.010318734:B(b,a), Rg(b,a) -> E(a,b)
r545:0.010285976:B(b,a), Rg(a,b) -> E(a,b)
r546:0.010284002:Q(b,a), Ra(a,b) -> B(a,b)
r547:0.010215896:GG(b,a), Ra(b,a) -> B(a,b)
r548:0.010197411:Iw(g,b), X(a,g) -> ML(a,b)
r549:0.010113154:A(a,h), X(b,h) -> T(a,b)
r550:0.010112637:P(a,b), X(b,a) -> U(a,b)
r551:0.010112637:D(a,b), P(a,b) -> U(a,b)
r552:0.010105624:B(a,b), Ra(b,a) -> Rg(a,b)
