Number of atoms removed: 4872
Problematic atoms:
{('P', 'e443', 'e338')}
('Q', 'e47', 'e912')
('Rg', 'e502', 'e201')
('Rg', 'e833', 'e1809')
('Q', 'e1809', 'e62')
('Q', 'e272', 'e1162')
('Q', 'e330', 'e105')
('Rg', 'e2', 'e443')
('Q', 'e370', 'e309')
('Rg', 'e1774', 'e58')
('Rg', 'e1950', 'e472')
('Rg', 'e309', 'e622')
('Rg', 'e1005', 'e201')
('Rg', 'e298', 'e89')
('Q', 'e375', 'e248')
('Q', 'e658', 'e1891')
('Q', 'e0', 'e1162')
('Q', 'e633', 'e1104')
('Q', 'e1927', 'e502')
('Rg', 'e1155', 'e510')
('Rg', 'e330', 'e802')
('Rg', 'e274', 'e219')
('ML', 'e357', 'e89')
('Rg', 'e323', 'e2')
('ML', 'e2365', 'e443')
('Q', 'e622', 'e1103')
('Q', 'e1454', 'e248')
('Q', 'e166', 'e330')
('Q', 'e1774', 'e201')
('Rg', 'e443', 'e298')
('Q', 'e1104', 'e1774')
('Q', 'e1104', 'e2')
('Rg', 'e139', 'e1454')
('Q', 'e833', 'e139')
('Rg', 'e0', 'e1950')
('Q', 'e658', 'e502')
('Rg', 'e274', 'e1295')
('Rg', 'e443', 'e480')
('Q', 'e823', 'e1005')
('Q', 'e309', 'e330')
('Q', 'e363', 'e1927')
('Q', 'e1162', 'e1891')
('Q', 'e311', 'e189')
('Rg', 'e1103', 'e201')
('Rg', 'e1162', 'e89')
('P', 'e62', 'e915')
('ML', 'e1248', 'e2')
('P', 'e702', 'e1299')
('ML', 'e301', 'e1774')
('Q', 'e833', 'e31')
('Rg', 'e2', 'e1774')
('Rg', 'e2', 'e2')
('Rg', 'e702', 'e1809')
('Rg', 'e802', 'e370')
('Q', 'e651', 'e139')
('P', 'e1927', 'e2448')
('P', 'e912', 'e1299')
('Q', 'e1950', 'e480')
('Rg', 'e31', 'e1103')
('P', 'e175', 'e86')
('Q', 'e446', 'e363')
('Rg', 'e472', 'e1950')
('Q', 'e309', 'e622')
('ML', 'e331', 'e658')
('Q', 'e1162', 'e502')
('P', 'e651', 'e3728')
('Rg', 'e1950', 'e58')
('P', 'e912', 'e913')
('Q', 'e510', 'e1774')
('Q', 'e510', 'e2')
('Q', 'e219', 'e823')
('Q', 'e1927', 'e1776')
('Rg', 'e443', 'e495')
('Rg', 'e651', 'e711')
('Q', 'e711', 'e443')
('Rg', 'e47', 'e272')
('Q', 'e325', 'e485')
('P', 'e1005', 'e901')
('ML', 'e3824', 'e309')
('P', 'e0', 'e68')
('Rg', 'e823', 'e802')
('Q', 'e1155', 'e175')
('Q', 'e658', 'e1776')
('Rg', 'e510', 'e502')
('ML', 'e28', 'e201')
('Q', 'e2', 'e1155')
('Rg', 'e219', 'e1104')
('Rg', 'e0', 'e325')
('ML', 'e357', 'e47')
('ML', 'e611', 'e510')
('Rg', 'e298', 'e651')
('Q', 'e370', 'e472')
('Rg', 'e702', 'e912')
('Rg', 'e802', 'e711')
('Rg', 'e802', 'e651')
('Rg', 'e47', 'e298')
('ML', 'e148', 'e89')
('Q', 'e711', 'e1774')
('ML', 'e81', 'e139')
('Q', 'e175', 'e502')
('Q', 'e480', 'e485')
('Rg', 'e495', 'e658')
('Rg', 'e219', 'e38')
('Q', 'e499', 'e330')
('Rg', 'e472', 'e325')
('Q', 'e1950', 'e330')
('Rg', 'e510', 'e89')
('ML', 'e841', 'e1005')
('Q', 'e651', 'e912')
('Q', 'e60', 'e1155')
('Q', 'e495', 'e272')
('P', 'e1138', 'e611')
('Q', 'e274', 'e1454')
('Q', 'e1104', 'e0')
('Rg', 'e201', 'e60')
('ML', 'e81', 'e1809')
('Q', 'e363', 'e363')
('Q', 'e274', 'e0')
('Rg', 'e510', 'e1776')
('P', 'e0', 'e1344')
('ML', 'e1359', 'e1155')
('Q', 'e1927', 'e651')
('ML', 'e901', 'e105')
('P', 'e702', 'e947')
('Rg', 'e622', 'e1809')
('Q', 'e1520', 'e166')
('Q', 'e58', 'e31')
('Rg', 'e47', 'e495')
('Q', 'e139', 'e62')
('Q', 'e219', 'e2024')
('P', 'e1104', 'e68')
('Rg', 'e219', 'e105')
('Rg', 'e833', 'e485')
('Q', 'e298', 'e166')
('Rg', 'e823', 'e443')
('P', 'e89', 'e1140')
('Q', 'e495', 'e323')
('Rg', 'e1927', 'e60')
('Q', 'e495', 'e298')
('Q', 'e201', 'e189')
('Q', 'e1454', 'e833')
('Q', 'e912', 'e166')
('Rg', 'e1520', 'e446')
('P', 'e1005', 'e2448')
('Rg', 'e1104', 'e325')
('Q', 'e502', 'e1776')
('ML', 'e933', 'e89')
('Rg', 'e189', 'e189')
('Q', 'e175', 'e370')
('Q', 'e363', 'e248')
('Q', 'e370', 'e363')
('Q', 'e823', 'e502')
('Rg', 'e633', 'e443')
('Rg', 'e711', 'e1776')
('Q', 'e201', 'e60')
('Rg', 'e912', 'e802')
('Q', 'e105', 'e1927')
('Q', 'e1005', 'e1776')
('Rg', 'e802', 'e446')
('Rg', 'e47', 'e1005')
('Rg', 'e166', 'e370')
('ML', 'e81', 'e912')
('Q', 'e363', 'e510')
('Rg', 'e510', 'e47')
('Rg', 'e1774', 'e443')
('P', 'e248', 'e2448')
('P', 'e1927', 'e915')
('Q', 'e1103', 'e1520')
('Rg', 'e510', 'e64')
('Q', 'e622', 'e1809')
('ML', 'e133', 'e1104')
('Rg', 'e622', 'e711')
('P', 'e1103', 'e2095')
('Q', 'e2024', 'e1295')
('ML', 'e94', 'e1454')
('Q', 'e495', 'e495')
('ML', 'e94', 'e0')
('P', 'e1776', 'e2365')
('Rg', 'e31', 'e139')
('Q', 'e833', 'e485')
('Q', 'e248', 'e1776')
('P', 'e1104', 'e1344')
('ML', 'e24', 'e1454')
('Rg', 'e1891', 'e274')
('Rg', 'e58', 'e189')
('Q', 'e272', 'e1927')
('Q', 'e823', 'e89')
('P', 'e912', 'e788')
('Q', 'e443', 'e189')
('P', 'e274', 'e2365')
('Rg', 'e31', 'e31')
('P', 'e189', 'e915')
('Rg', 'e47', 'e1103')
('ML', 'e133', 'e38')
('Q', 'e1155', 'e60')
('Q', 'e166', 'e139')
('Q', 'e651', 'e485')
('Q', 'e502', 'e47')
('Rg', 'e325', 'e274')
('Q', 'e658', 'e446')
('Rg', 'e1774', 'e1774')
('Q', 'e175', 'e711')
('Q', 'e912', 'e802')
('Rg', 'e1774', 'e2')
('Rg', 'e472', 'e166')
('Q', 'e201', 'e1138')
('Q', 'e1005', 'e47')
('Q', 'e495', 'e1005')
('ML', 'e2243', 'e1155')
('ML', 'e933', 'e47')
('Q', 'e1927', 'e485')
('Q', 'e219', 'e1520')
('Q', 'e166', 'e1809')
('Rg', 'e330', 'e0')
('Q', 'e1005', 'e64')
('Rg', 'e1454', 'e274')
('ML', 'e354', 'e248')
('P', 'e219', 'e2095')
('ML', 'e1472', 'e38')
('Rg', 'e325', 'e1950')
('Q', 'e480', 'e219')
('Rg', 'e711', 'e651')
('Q', 'e622', 'e711')
('Q', 'e622', 'e912')
('Rg', 'e272', 'e363')
('ML', 'e354', 'e510')
('Rg', 'e1005', 'e1155')
('P', 'e1155', 'e1472')
('Q', 'e1891', 'e274')
('Q', 'e0', 'e166')
('Q', 'e633', 'e1155')
('Q', 'e248', 'e47')
('ML', 'e947', 'e502')
('Rg', 'e1155', 'e62')
('ML', 'e841', 'e502')
('Q', 'e2', 'e823')
('Q', 'e375', 'e658')
('Q', 'e298', 'e510')
('Q', 'e480', 'e1162')
('Q', 'e248', 'e64')
('ML', 'e611', 'e1454')
('ML', 'e514', 'e823')
('P', 'e443', 'e301')
('ML', 'e611', 'e0')
('P', 'e480', 'e157')
('Q', 'e1155', 'e272')
('Q', 'e325', 'e274')
('Rg', 'e31', 'e912')
('P', 'e201', 'e788')
('Q', 'e58', 'e446')
('Q', 'e472', 'e166')
('Rg', 'e1103', 'e1155')
('Rg', 'e480', 'e802')
('Q', 'e443', 'e1138')
('ML', 'e301', 'e1104')
('Q', 'e166', 'e711')
('Rg', 'e323', 'e38')
('Q', 'e166', 'e912')
('ML', 'e947', 'e89')
('Q', 'e1104', 'e38')
('P', 'e2024', 'e1290')
('Rg', 'e823', 'e0')
('P', 'e62', 'e94')
('Rg', 'e325', 'e325')
('Rg', 'e443', 'e370')
('Q', 'e60', 'e480')
('Rg', 'e443', 'e31')
('ML', 'e60', 'e274')
('Q', 'e499', 'e139')
('Rg', 'e330', 'e62')
('Q', 'e311', 'e2024')
('Rg', 'e47', 'e1891')
('Q', 'e309', 'e912')
('Q', 'e272', 'e363')
('Q', 'e175', 'e446')
('Rg', 'e443', 'e1809')
('Rg', 'e64', 'e175')
('ML', 'e947', 'e1776')
('Q', 'e1155', 'e298')
('Q', 'e510', 'e1104')
('Q', 'e802', 'e1520')
('Q', 'e58', 'e485')
('ML', 'e651', 'e1950')
('Q', 'e1155', 'e323')
('P', 'e802', 'e2448')
('Q', 'e219', 'e47')
('Rg', 'e60', 'e330')
('Q', 'e219', 'e64')
('ML', 'e841', 'e370')
('Q', 'e1950', 'e31')
('Rg', 'e0', 'e510')
('Q', 'e499', 'e1809')
('ML', 'e28', 'e1155')
('ML', 'e841', 'e1809')
('Q', 'e802', 'e1776')
('Rg', 'e446', 'e309')
('Rg', 'e219', 'e1155')
('Rg', 'e1776', 'e622')
('Q', 'e510', 'e38')
('Rg', 'e60', 'e622')
('ML', 'e611', 'e62')
('P', 'e62', 'e1567')
('P', 'e62', 'e1290')
('Q', 'e354', 'e622')
('P', 'e139', 'e1140')
('Rg', 'e166', 'e485')
('Rg', 'e472', 'e510')
('ML', 'e76', 'e802')
('Q', 'e2', 'e622')
('Q', 'e272', 'e248')
('Q', 'e323', 'e1103')
('Q', 'e912', 'e2')
('Q', 'e1155', 'e495')
('Q', 'e325', 'e325')
('Q', 'e64', 'e139')
('P', 'e1891', 'e913')
('Q', 'e446', 'e658')
('Q', 'e711', 'e1104')
('Rg', 'e1138', 'e323')
('Q', 'e711', 'e201')
('Q', 'e495', 'e1891')
('P', 'e60', 'e28')
('Rg', 'e485', 'e189')
('Q', 'e272', 'e510')
('Q', 'e330', 'e480')
('Rg', 'e443', 'e651')
('Rg', 'e443', 'e711')
('Q', 'e64', 'e370')
('Q', 'e60', 'e330')
('Q', 'e64', 'e31')
('Q', 'e166', 'e446')
('P', 'e1138', 'e181')
('Q', 'e64', 'e1809')
('Q', 'e510', 'e105')
('Q', 'e1927', 'e219')
('Q', 'e1138', 'e272')
('ML', 'e947', 'e64')
('P', 'e1776', 'e94')
('Q', 'e47', 'e325')
('Q', 'e495', 'e502')
('Rg', 'e1950', 'e658')
('Q', 'e1950', 'e711')
('ML', 'e841', 'e651')
('ML', 'e841', 'e711')
('Rg', 'e2024', 'e47')
('Rg', 'e47', 'e31')
('Rg', 'e89', 'e325')
('ML', 'e913', 'e60')
('P', 'e354', 'e331')
('P', 'e651', 'e157')
('Q', 'e1155', 'e1005')
('P', 'e47', 'e1299')
('P', 'e62', 'e2243')
('Rg', 'e47', 'e1809')
('Q', 'e658', 'e219')
('Q', 'e802', 'e64')
('ML', 'e1491', 'e833')
('Q', 'e1927', 'e1162')
('Q', 'e166', 'e485')
('Q', 'e472', 'e510')
('ML', 'e1359', 'e622')
('Rg', 'e1104', 'e510')
('P', 'e47', 'e913')
('Q', 'e31', 'e802')
('Rg', 'e363', 'e309')
('P', 'e495', 'e2448')
('ML', 'e2095', 'e89')
('Q', 'e60', 'e1103')
('P', 'e248', 'e2365')
('Q', 'e1162', 'e219')
('Q', 'e375', 'e1104')
('Rg', 'e1295', 'e274')
('P', 'e1776', 'e1290')
('Q', 'e2024', 'e1927')
('ML', 'e2243', 'e480')
('P', 'e1103', 'e2365')
('P', 'e354', 'e933')
('Rg', 'e658', 'e2024')
('Rg', 'e62', 'e47')
('Q', 'e64', 'e711')
('Q', 'e1162', 'e1295')
('Q', 'e1454', 'e201')
('Rg', 'e702', 'e1950')
('Q', 'e651', 'e274')
('Q', 'e64', 'e912')
('Rg', 'e446', 'e472')
('Q', 'e1520', 'e1454')
('P', 'e189', 'e157')
('Q', 'e2024', 'e472')
('Q', 'e89', 'e325')
('Rg', 'e1005', 'e823')
('P', 'e323', 'e1491')
('Q', 'e702', 'e702')
('Rg', 'e443', 'e446')
('Q', 'e0', 'e1104')
('P', 'e1950', 'e788')
('Q', 'e1776', 'e274')
('Q', 'e298', 'e1454')
('P', 'e1891', 'e947')
('Q', 'e58', 'e219')
('Q', 'e298', 'e0')
('Q', 'e912', 'e702')
('Rg', 'e47', 'e711')
('Q', 'e2', 'e1520')
('ML', 'e148', 'e1295')
('ML', 'e514', 'e1520')
('Q', 'e1774', 'e823')
('Rg', 'e510', 'e1295')
('Q', 'e912', 'e0')
('P', 'e1520', 'e1491')
('Rg', 'e651', 'e325')
('Q', 'e1776', 'e309')
('P', 'e2', 'e1491')
('P', 'e309', 'e24')
('Rg', 'e354', 'e219')
('P', 'e711', 'e2095')
('Q', 'e1295', 'e274')
('Q', 'e58', 'e1162')
('Q', 'e175', 'e219')
('P', 'e702', 'e68')
('Rg', 'e201', 'e1520')
('Q', 'e62', 'e472')
('Q', 'e325', 'e166')
('Q', 'e480', 'e1927')
('ML', 'e68', 'e60')
('Q', 'e31', 'e443')
('Q', 'e499', 'e485')
('Q', 'e175', 'e1295')
('P', 'e31', 'e2448')
('Q', 'e1950', 'e485')
('Rg', 'e201', 'e1776')
('Rg', 'e139', 'e189')
('Q', 'e833', 'e325')
('Rg', 'e298', 'e309')
('Rg', 'e272', 'e1454')
('ML', 'e1359', 'e1520')
('Q', 'e175', 'e1162')
('P', 'e1454', 'e157')
('Rg', 'e0', 'e1454')
('Rg', 'e1927', 'e1520')
('ML', 'e354', 'e62')
('Rg', 'e495', 'e189')
('Rg', 'e711', 'e1295')
('Q', 'e47', 'e166')
('Q', 'e64', 'e446')
('ML', 'e2154', 'e495')
('ML', 'e933', 'e1295')
('Rg', 'e139', 'e60')
('Q', 'e47', 'e499')
('Q', 'e446', 'e201')
('Q', 'e323', 'e139')
('Rg', 'e363', 'e472')
('P', 'e833', 'e913')
('Rg', 'e502', 'e622')
('Rg', 'e622', 'e274')
('Rg', 'e502', 'e2024')
('Rg', 'e1454', 'e802')
('Q', 'e2024', 'e363')
('Q', 'e1155', 'e1891')
('P', 'e651', 'e1299')
('P', 'e1520', 'e1344')
('Rg', 'e1927', 'e1776')
('Rg', 'e658', 'e89')
('Q', 'e912', 'e62')
('Rg', 'e1005', 'e622')
('P', 'e2', 'e1344')
('Q', 'e31', 'e1774')
('Q', 'e1138', 'e1103')
('Rg', 'e499', 'e1104')
('Q', 'e31', 'e2')
('Q', 'e1891', 'e802')
('P', 'e651', 'e913')
('Rg', 'e622', 'e1950')
('P', 'e1776', 'e1299')
('Rg', 'e472', 'e0')
('P', 'e105', 'e1491')
('Q', 'e64', 'e485')
('P', 'e62', 'e357')
('P', 'e912', 'e1344')
('Q', 'e1774', 'e622')
('ML', 'e1344', 'e1138')
('Q', 'e1774', 'e2024')
('Q', 'e201', 'e1776')
('Q', 'e38', 'e166')
('Rg', 'e325', 'e510')
('Q', 'e139', 'e189')
('Rg', 'e64', 'e298')
('Q', 'e272', 'e1454')
('P', 'e139', 'e3824')
('Rg', 'e1155', 'e1155')
('Rg', 'e201', 'e47')
('Q', 'e485', 'e802')
('P', 'e622', 'e915')
('Rg', 'e201', 'e64')
('P', 'e495', 'e915')
('ML', 'e1104', 'e298')
('Rg', 'e272', 'e658')
('Rg', 'e1891', 'e443')
('Q', 'e139', 'e60')
('Q', 'e166', 'e1162')
('Rg', 'e1520', 'e1927')
('Q', 'e622', 'e274')
('P', 'e1162', 'e2365')
('P', 'e166', 'e157')
('Q', 'e60', 'e139')
('P', 'e1155', 'e1299')
('Rg', 'e0', 'e62')
('Q', 'e472', 'e702')
('ML', 'e76', 'e0')
('Q', 'e480', 'e363')
('P', 'e1138', 'e86')
('Rg', 'e58', 'e89')
('Q', 'e105', 'e658')
('Q', 'e495', 'e446')
('Rg', 'e370', 'e201')
('P', 'e443', 'e2448')
('Q', 'e323', 'e711')
('Rg', 'e802', 'e1927')
('Rg', 'e1103', 'e1103')
('Q', 'e443', 'e325')
('Q', 'e833', 'e1104')
('Rg', 'e166', 'e1950')
('Rg', 'e1927', 'e64')
('Rg', 'e363', 'e363')
('Rg', 'e64', 'e495')
('Rg', 'e219', 'e330')
('Rg', 'e1776', 'e711')
('Rg', 'e1104', 'e0')
('Rg', 'e60', 'e711')
('Rg', 'e298', 'e472')
('Q', 'e274', 'e189')
('Q', 'e325', 'e510')
('Rg', 'e472', 'e62')
('Rg', 'e510', 'e309')
('Q', 'e1155', 'e31')
('Rg', 'e1454', 'e443')
('Q', 'e443', 'e1776')
('Q', 'e201', 'e47')
('Q', 'e189', 'e1776')
('Q', 'e62', 'e248')
('Q', 'e201', 'e64')
('Q', 'e2', 'e912')
('Rg', 'e189', 'e47')
('Rg', 'e443', 'e219')
('Q', 'e711', 'e1155')
('Q', 'e272', 'e658')
('Q', 'e274', 'e60')
('Q', 'e38', 'e802')
('Rg', 'e31', 'e1950')
('Q', 'e1891', 'e443')
('ML', 'e901', 'e1103')
('Q', 'e1927', 'e1927')
('Rg', 'e175', 'e1776')
('P', 'e60', 'e357')
('P', 'e495', 'e81')
('Rg', 'e1005', 'e1520')
('P', 'e823', 'e1491')
('Rg', 'e1162', 'e472')
('Q', 'e309', 'e274')
('Rg', 'e64', 'e1005')
('ML', 'e1248', 'e60')
('P', 'e89', 'e901')
('ML', 'e841', 'e219')
('Q', 'e330', 'e139')
('Rg', 'e219', 'e1103')
('Q', 'e370', 'e201')
('Q', 'e370', 'e1104')
('Rg', 'e443', 'e1162')
('Q', 'e166', 'e1950')
('Q', 'e89', 'e802')
('P', 'e248', 'e1290')
('Q', 'e502', 'e309')
('Q', 'e485', 'e443')
('Q', 'e651', 'e166')
('Q', 'e480', 'e510')
('P', 'e1103', 'e1567')
('P', 'e1103', 'e1290')
('Q', 'e622', 'e325')
('ML', 'e947', 'e1295')
('ML', 'e76', 'e62')
('Q', 'e60', 'e711')
('Rg', 'e298', 'e58')
('Q', 'e60', 'e912')
('Q', 'e499', 'e1162')
('Q', 'e1005', 'e309')
('Rg', 'e370', 'e105')
('Rg', 'e711', 'e309')
('ML', 'e933', 'e309')
('Q', 'e1162', 'e1927')
('Q', 'e443', 'e47')
('ML', 'e1472', 'e480')
('ML', 'e68', 'e1005')
('ML', 'e1359', 'e912')
('Q', 'e47', 'e443')
('Q', 'e1891', 'e2')
('Q', 'e485', 'e833')
('Q', 'e189', 'e47')
('Q', 'e443', 'e64')
('P', 'e1104', 'e181')
('Rg', 'e89', 'e443')
('Q', 'e189', 'e64')
('Rg', 'e31', 'e325')
('Q', 'e375', 'e1155')
('Q', 'e274', 'e1138')
('ML', 'e1491', 'e201')
('P', 'e833', 'e788')
('Q', 'e1162', 'e472')
('Rg', 'e1162', 'e58')
('Q', 'e325', 'e2')
('Rg', 'e175', 'e47')
('Q', 'e1103', 'e309')
('Rg', 'e510', 'e1927')
('Rg', 'e833', 'e510')
('Rg', 'e1155', 'e60')
('Q', 'e1454', 'e1155')
('P', 'e248', 'e2243')
('Q', 'e58', 'e1927')
('P', 'e219', 'e1290')
('Q', 'e166', 'e325')
('P', 'e651', 'e788')
('ML', 'e1472', 'e495')
('Rg', 'e47', 'e219')
('ML', 'e357', 'e499')
('ML', 'e28', 'e1520')
('Rg', 'e1776', 'e485')
('Q', 'e823', 'e309')
('Rg', 'e1005', 'e47')
('ML', 'e24', 'e60')
('ML', 'e338', 'e502')
('Rg', 'e1162', 'e363')
('Q', 'e1138', 'e370')
('Q', 'e370', 'e105')
('Q', 'e38', 'e443')
('Rg', 'e323', 'e298')
('Rg', 'e510', 'e472')
('Q', 'e2024', 'e833')
('Q', 'e1104', 'e298')
('Rg', 'e443', 'e1950')
('P', 'e370', 'e157')
('ML', 'e133', 'e1005')
('P', 'e1891', 'e133')
('Q', 'e330', 'e711')
('ML', 'e60', 'e2')
('Q', 'e1950', 'e274')
('ML', 'e1290', 'e480')
('Q', 'e330', 'e912')
('P', 'e1520', 'e1140')
('Rg', 'e105', 'e58')
('P', 'e446', 'e1299')
('Rg', 'e1809', 'e89')
('P', 'e1155', 'e915')
('Rg', 'e47', 'e1162')
('Rg', 'e298', 'e248')
('P', 'e2', 'e1140')
('Q', 'e89', 'e443')
('Rg', 'e446', 'e1774')
('P', 'e89', 'e2448')
('Q', 'e1776', 'e802')
('ML', 'e157', 'e201')
('ML', 'e841', 'e1950')
('Rg', 'e248', 'e472')
('ML', 'e86', 'e60')
('ML', 'e301', 'e823')
('Q', 'e1162', 'e58')
('Q', 'e658', 'e363')
('ML', 'e1472', 'e1005')
('P', 'e485', 'e133')
('Rg', 'e325', 'e0')
('Q', 'e219', 'e309')
('P', 'e912', 'e1140')
('Rg', 'e711', 'e1927')
('Q', 'e105', 'e201')
('ML', 'e338', 'e89')
('Rg', 'e1774', 'e1155')
('Q', 'e1005', 'e1927')
('Rg', 'e485', 'e89')
('Q', 'e502', 'e472')
('Q', 'e1155', 'e446')
('Q', 'e38', 'e2')
('Rg', 'e323', 'e495')
('ML', 'e1290', 'e495')
('ML', 'e94', 'e1138')
('Q', 'e1104', 'e495')
('Q', 'e510', 'e480')
('ML', 'e148', 'e58')
('Q', 'e495', 'e219')
('Rg', 'e485', 'e1776')
('Q', 'e60', 'e485')
('Q', 'e1005', 'e472')
('Rg', 'e64', 'e1891')
('ML', 'e76', 'e38')
('Q', 'e1809', 'e370')
('P', 'e802', 'e1567')
('Q', 'e1809', 'e89')
('Q', 'e1155', 'e485')
('P', 'e802', 'e1290')
('P', 'e499', 'e148')
('P', 'e1809', 'e2095')
('Q', 'e1927', 'e510')
('P', 'e31', 'e514')
('ML', 'e901', 'e139')
('Q', 'e495', 'e1162')
('ML', 'e148', 'e363')
('Rg', 'e1295', 'e443')
('P', 'e1155', 'e81')
('Rg', 'e323', 'e1005')
('Q', 'e248', 'e472')
('Q', 'e325', 'e0')
('Q', 'e823', 'e1927')
('Rg', 'e309', 'e354')
('Rg', 'e495', 'e2024')
('ML', 'e841', 'e325')
('ML', 'e947', 'e309')
('Q', 'e633', 'e711')
('P', 'e0', 'e86')
('Rg', 'e1809', 'e64')
('P', 'e502', 'e357')
('Rg', 'e38', 'e89')
('Rg', 'e325', 'e62')
('Q', 'e711', 'e480')
('ML', 'e1248', 'e1005')
('P', 'e499', 'e913')
('Q', 'e47', 'e702')
('Q', 'e1774', 'e912')
('Q', 'e912', 'e175')
('Q', 'e1162', 'e248')
('Q', 'e823', 'e472')
('Q', 'e1776', 'e443')
('ML', 'e1299', 'e201')
('Rg', 'e711', 'e58')
('P', 'e219', 'e1299')
('Q', 'e802', 'e309')
('Rg', 'e219', 'e1809')
('Q', 'e47', 'e0')
('ML', 'e933', 'e58')
('ML', 'e181', 'e89')
('P', 'e485', 'e68')
('Q', 'e175', 'e363')
('Rg', 'e633', 'e60')
('Q', 'e31', 'e38')
('Q', 'e510', 'e330')
('Rg', 'e89', 'e0')
('Rg', 'e1138', 'e485')
('Rg', 'e1103', 'e912')
('P', 'e802', 'e2243')
('Q', 'e502', 'e363')
('ML', 'e148', 'e248')
('Q', 'e480', 'e1454')
('Rg', 'e1295', 'e2')
('Q', 'e1104', 'e1103')
('ML', 'e94', 'e495')
('Rg', 'e201', 'e1295')
('Q', 'e1295', 'e443')
('Q', 'e1005', 'e363')
('ML', 'e933', 'e363')
('P', 'e354', 'e28')
('Q', 'e651', 'e2')
('Q', 'e309', 'e354')
('Rg', 'e370', 'e1155')
('Q', 'e363', 'e189')
('Q', 'e38', 'e702')
('ML', 'e1344', 'e89')
('Q', 'e446', 'e1138')
('Q', 'e1809', 'e47')
('Q', 'e1138', 'e446')
('Q', 'e58', 'e510')
('ML', 'e357', 'e443')
('Q', 'e1809', 'e64')
('ML', 'e1104', 'e370')
('Rg', 'e309', 'e802')
('Q', 'e1295', 'e833')
('P', 'e370', 'e913')
('ML', 'e788', 'e166')
('Q', 'e31', 'e105')
('ML', 'e788', 'e499')
('Rg', 'e1927', 'e1295')
('Q', 'e175', 'e248')
('Q', 'e248', 'e363')
('P', 'e1103', 'e947')
('Rg', 'e139', 'e1520')
('Rg', 'e330', 'e495')
('Q', 'e1138', 'e485')
('Q', 'e175', 'e510')
('ML', 'e2243', 'e485')
('Rg', 'e38', 'e47')
('P', 'e1774', 'e2365')
('ML', 'e143', 'e1520')
('Q', 'e1295', 'e1774')
('P', 'e298', 'e1299')
('Q', 'e1295', 'e2')
('Rg', 'e711', 'e248')
('Q', 'e823', 'e363')
('ML', 'e933', 'e248')
('Rg', 'e495', 'e89')
('Rg', 'e823', 'e298')
('P', 'e1138', 'e338')
('P', 'e446', 'e788')
('Rg', 'e651', 'e0')
('ML', 'e357', 'e1774')
('Q', 'e219', 'e58')
('Q', 'e370', 'e1155')
('P', 'e47', 'e1344')
('ML', 'e611', 'e495')
('Rg', 'e1520', 'e1454')
('Rg', 'e105', 'e443')
('P', 'e1162', 'e1299')
('Q', 'e499', 'e166')
('Q', 'e802', 'e472')
('P', 'e219', 'e947')
('ML', 'e1104', 'e711')
('Q', 'e1950', 'e166')
('Q', 'e1520', 'e189')
('Q', 'e1104', 'e1891')
('ML', 'e133', 'e31')
('Rg', 'e31', 'e510')
('ML', 'e133', 'e1809')
('Rg', 'e802', 'e1454')
('Q', 'e833', 'e0')
('Q', 'e1155', 'e1295')
('Q', 'e298', 'e189')
('Rg', 'e1774', 'e480')
('ML', 'e788', 'e802')
('Rg', 'e1454', 'e38')
('Q', 'e375', 'e330')
('Q', 'e823', 'e248')
('Rg', 'e323', 'e502')
('Rg', 'e58', 'e1295')
('Q', 'e2', 'e274')
('Q', 'e472', 'e175')
('Q', 'e219', 'e354')
('ML', 'e354', 'e60')
('Q', 'e1520', 'e60')
('Q', 'e354', 'e309')
('Rg', 'e1104', 'e175')
('Q', 'e139', 'e1776')
('Q', 'e1104', 'e502')
('Rg', 'e1776', 'e1950')
('Q', 'e166', 'e510')
('Q', 'e485', 'e1104')
('Q', 'e1454', 'e330')
('Q', 'e651', 'e0')
('ML', 'e1472', 'e31')
('Q', 'e1103', 'e802')
('ML', 'e1248', 'e502')
('Q', 'e375', 'e2024')
('P', 'e309', 'e148')
('ML', 'e143', 'e47')
('Q', 'e446', 'e823')
('Q', 'e1927', 'e1454')
('ML', 'e901', 'e485')
('Rg', 'e495', 'e47')
('ML', 'e148', 'e833')
('Q', 'e1454', 'e2024')
('Rg', 'e495', 'e64')
('Q', 'e485', 'e38')
('Rg', 'e510', 'e833')
('Rg', 'e1454', 'e105')
('Rg', 'e272', 'e189')
('Q', 'e60', 'e274')
('ML', 'e2448', 'e309')
('ML', 'e133', 'e711')
('Rg', 'e309', 'e1774')
('Rg', 'e309', 'e2')
('P', 'e1927', 'e1491')
('Rg', 'e446', 'e1104')
('Rg', 'e0', 'e189')
('Q', 'e2024', 'e201')
('P', 'e510', 'e1299')
('P', 'e330', 'e157')
('Q', 'e274', 'e1776')
('Q', 'e47', 'e38')
('ML', 'e331', 'e912')
('ML', 'e60', 'e38')
('Rg', 'e323', 'e31')
('Q', 'e1520', 'e1138')
('ML', 'e1104', 'e446')
('Rg', 'e912', 'e298')
('Rg', 'e1776', 'e325')
('Q', 'e495', 'e1927')
('Q', 'e1104', 'e370')
('Rg', 'e89', 'e38')
('Q', 'e1104', 'e31')
('Q', 'e219', 'e802')
('Rg', 'e60', 'e325')
('P', 'e31', 'e2243')
('Rg', 'e443', 'e248')
('Rg', 'e912', 'e480')
('Rg', 'e2024', 'e499')
('P', 'e323', 'e1363')
('Q', 'e1104', 'e1809')
