Assuming 9 as type relation
Loading files... 
  Starting train_nations.tsv
  Finished train_nations.tsv, still running: 0
Loaded 1592 facts in 46 ms using -3 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 4 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  releconomicaid  ?b  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.04	0.8	0.8	4	5	5	-1
?a  officialvisits  ?b  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.04	0.8	0.8	4	5	5	-1
?a  pprotests  ?b  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.03	1	1	3	3	3	-1
?a  economicaid  ?b  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.03	1	1	3	3	3	-1
?b  reltreaties  ?a  ?a  timesincewar  ?b   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?a  exports3  ?b  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?a  relstudents  ?b  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?a  negativecomm  ?b  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?a  lostterritory  ?b  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?a  dependent  ?b  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?a  expeldiplomats  ?b  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  commonbloc2  ?a  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.09	0.75	0.75	9	12	12	-1
?b  exports3  ?a  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.09	0.75	0.75	9	12	12	-1
?b  relexports  ?a  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.09	0.692307692	0.692307692	9	13	13	-1
?b  negativebehavior  ?a  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.07	0.875	0.875	7	8	8	-1
?b  reltreaties  ?a  ?b  students  ?a   => ?a  embassy  ?b	0.06	0.75	0.75	6	8	8	-1
?b  accusation  ?a  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.06	0.857142857	0.857142857	6	7	7	-1
?b  negativecomm  ?a  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.05	1	1	5	5	5	-1
?b  relstudents  ?a  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.05	0.833333333	0.833333333	5	6	6	-1
?b  officialvisits  ?a  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.05	0.833333333	0.833333333	5	6	6	-1
?a  accusation  ?b  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.02	1	1	2	2	2	-1
?b  relbooktranslations  ?a  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.11	0.916666667	0.916666667	11	12	12	-1
?b  booktranslations  ?a  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.11	0.916666667	0.916666667	11	12	12	-1
?b  dependent  ?a  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.03	1	1	3	3	3	-1
?b  boycottembargo  ?a  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.02	1	1	2	2	2	-1
?b  relexportbooks  ?a  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?b  pprotests  ?a  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?b  reltreaties  ?a  ?b  timesincewar  ?a   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?b  aidenemy  ?a  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  economicaid  ?a  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  releconomicaid  ?a  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  reltreaties  ?a  ?b  unoffialacts  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  reltreaties  ?a  ?b  severdiplomatic  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  blockpositionindex  ?a  ?a  commonbloc1  ?b   => ?a  embassy  ?b	0.15	0.75	0.75	15	20	20	-1
?b  blockpositionindex  ?a  ?a  conferences  ?b   => ?a  embassy  ?b	0.13	0.619047619	0.619047619	13	21	21	-1
?b  blockpositionindex  ?a  ?a  relngo  ?b   => ?a  embassy  ?b	0.11	0.647058824	0.647058824	11	17	17	-1
?b  blockpositionindex  ?a  ?a  relintergovorgs  ?b   => ?a  embassy  ?b	0.09	0.6	0.6	9	15	15	-1
?b  blockpositionindex  ?a  ?a  unweightedunvote  ?b   => ?a  embassy  ?b	0.07	0.7	0.7	7	10	10	-1
?b  blockpositionindex  ?a  ?a  booktranslations  ?b   => ?a  embassy  ?b	0.07	0.583333333	0.583333333	7	12	12	-1
?b  blockpositionindex  ?a  ?a  officialvisits  ?b   => ?a  embassy  ?b	0.07	0.875	0.875	7	8	8	-1
?b  blockpositionindex  ?a  ?a  relbooktranslations  ?b   => ?a  embassy  ?b	0.07	0.7	0.7	7	10	10	-1
?b  blockpositionindex  ?a  ?a  boycottembargo  ?b   => ?a  embassy  ?b	0.05	1	1	5	5	5	-1
?b  blockpositionindex  ?a  ?a  exports3  ?b   => ?a  embassy  ?b	0.04	0.666666667	0.666666667	4	6	6	-1
?b  blockpositionindex  ?a  ?a  tourism  ?b   => ?a  embassy  ?b	0.04	1	1	4	4	4	-1
?b  blockpositionindex  ?a  ?a  militaryalliance  ?b   => ?a  embassy  ?b	0.04	1	1	4	4	4	-1
?b  blockpositionindex  ?a  ?a  reltourism  ?b   => ?a  embassy  ?b	0.04	1	1	4	4	4	-1
?b  blockpositionindex  ?a  ?a  releconomicaid  ?b   => ?a  embassy  ?b	0.05	1	1	5	5	5	-1
?b  blockpositionindex  ?a  ?a  relexportbooks  ?b   => ?a  embassy  ?b	0.02	1	1	2	2	2	-1
?b  blockpositionindex  ?a  ?a  students  ?b   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?b  blockpositionindex  ?a  ?a  economicaid  ?b   => ?a  embassy  ?b	0.05	1	1	5	5	5	-1
?b  blockpositionindex  ?a  ?a  unoffialacts  ?b   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  blockpositionindex  ?a  ?b  negativecomm  ?a   => ?a  embassy  ?b	0.08	0.8	0.8	8	10	10	-1
?b  blockpositionindex  ?a  ?b  relbooktranslations  ?a   => ?a  embassy  ?b	0.08	0.888888889	0.888888889	8	9	9	-1
?b  blockpositionindex  ?a  ?b  relexports  ?a   => ?a  embassy  ?b	0.07	0.777777778	0.777777778	7	9	9	-1
?b  blockpositionindex  ?a  ?b  exports3  ?a   => ?a  embassy  ?b	0.07	1	1	7	7	7	-1
?b  blockpositionindex  ?a  ?b  officialvisits  ?a   => ?a  embassy  ?b	0.07	0.875	0.875	7	8	8	-1
?b  blockpositionindex  ?a  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.06	0.6	0.6	6	10	10	-1
?b  blockpositionindex  ?a  ?b  pprotests  ?a   => ?a  embassy  ?b	0.06	1	1	6	6	6	-1
?b  blockpositionindex  ?a  ?b  students  ?a   => ?a  embassy  ?b	0.04	1	1	4	4	4	-1
?b  blockpositionindex  ?a  ?b  boycottembargo  ?a   => ?a  embassy  ?b	0.04	1	1	4	4	4	-1
?b  blockpositionindex  ?a  ?b  relstudents  ?a   => ?a  embassy  ?b	0.04	1	1	4	4	4	-1
?b  blockpositionindex  ?a  ?a  relstudents  ?b   => ?a  embassy  ?b	0.03	0.75	0.75	3	4	4	-1
?b  blockpositionindex  ?a  ?b  tourism  ?a   => ?a  embassy  ?b	0.03	0.75	0.75	3	4	4	-1
?b  blockpositionindex  ?a  ?b  militaryalliance  ?a   => ?a  embassy  ?b	0.03	0.75	0.75	3	4	4	-1
?b  blockpositionindex  ?a  ?b  reltourism  ?a   => ?a  embassy  ?b	0.03	0.75	0.75	3	4	4	-1
?b  blockpositionindex  ?a  ?b  tourism3  ?a   => ?a  embassy  ?b	0.02	1	1	2	2	2	-1
?b  blockpositionindex  ?a  ?b  emigrants3  ?a   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?b  blockpositionindex  ?a  ?b  unoffialacts  ?a   => ?a  embassy  ?b	0.02	1	1	2	2	2	-1
?b  blockpositionindex  ?a  ?b  relemigrants  ?a   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?a  commonbloc1  ?b  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.12	0.75	0.75	12	16	16	-1
?a  conferences  ?b  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.1	0.625	0.625	10	16	16	-1
?a  reltourism  ?b  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.08	1	1	8	8	8	-1
?a  tourism  ?b  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.07	0.875	0.875	7	8	8	-1
?a  officialvisits  ?b  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.06	0.857142857	0.857142857	6	7	7	-1
?a  exportbooks  ?b  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.06	1	1	6	6	6	-1
?a  blockpositionindex  ?b  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.06	0.6	0.6	6	10	10	-1
?a  booktranslations  ?b  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.06	0.6	0.6	6	10	10	-1
?a  relexports  ?b  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.05	0.714285714	0.714285714	5	7	7	-1
?a  relexportbooks  ?b  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.05	0.833333333	0.833333333	5	6	6	-1
?a  tourism3  ?b  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.04	0.8	0.8	4	5	5	-1
?a  negativebehavior  ?b  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.03	0.75	0.75	3	4	4	-1
?a  timesincewar  ?b  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.03	0.6	0.6	3	5	5	-1
?a  nonviolentbehavior  ?b  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.02	1	1	2	2	2	-1
?a  militaryalliance  ?b  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?a  releconomicaid  ?b  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.02	1	1	2	2	2	-1
?a  eemigrants  ?b  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?a  negativecomm  ?b  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?a  relemigrants  ?b  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  blockpositionindex  ?a  ?a  pprotests  ?b   => ?a  embassy  ?b	0.03	0.6	0.6	3	5	5	-1
?b  blockpositionindex  ?a  ?b  eemigrants  ?a   => ?a  embassy  ?b	0.03	0.6	0.6	3	5	5	-1
?a  economicaid  ?b  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?a  emigrants3  ?b  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  relbooktranslations  ?a  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.07	0.875	0.875	7	8	8	-1
?b  booktranslations  ?a  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.07	0.7	0.7	7	10	10	-1
?b  tourism3  ?a  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.06	1	1	6	6	6	-1
?b  officialvisits  ?a  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.06	1	1	6	6	6	-1
?b  timesincewar  ?a  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.03	0.6	0.6	3	5	5	-1
?b  relstudents  ?a  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.03	1	1	3	3	3	-1
?b  negativebehavior  ?a  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.03	0.75	0.75	3	4	4	-1
?b  students  ?a  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.03	1	1	3	3	3	-1
?b  exports3  ?a  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.06	0.75	0.75	6	8	8	-1
?b  relexports  ?a  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.05	0.714285714	0.714285714	5	7	7	-1
?b  reltourism  ?a  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.05	0.555555556	0.555555556	5	9	9	-1
?b  negativecomm  ?a  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  dependent  ?a  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.02	1	1	2	2	2	-1
?b  accusation  ?a  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.02	1	1	2	2	2	-1
?b  emigrants3  ?a  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  severdiplomatic  ?a  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  economicaid  ?a  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  nonviolentbehavior  ?a  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  eemigrants  ?a  ?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  commonbloc2  ?a  ?a  independence  ?b   => ?a  embassy  ?b	0.15	0.714285714	0.714285714	15	21	21	-1
?b  commonbloc2  ?a  ?a  relngo  ?b   => ?a  embassy  ?b	0.13	0.590909091	0.590909091	13	22	22	-1
?b  commonbloc2  ?a  ?a  reldiplomacy  ?b   => ?a  embassy  ?b	0.13	0.764705882	0.764705882	13	17	17	-1
?b  commonbloc2  ?a  ?a  timesinceally  ?b   => ?a  embassy  ?b	0.12	0.75	0.75	12	16	16	-1
?b  commonbloc2  ?a  ?a  intergovorgs  ?b   => ?a  embassy  ?b	0.11	0.6875	0.6875	11	16	16	-1
?b  commonbloc2  ?a  ?a  ngoorgs3  ?b   => ?a  embassy  ?b	0.11	0.647058824	0.647058824	11	17	17	-1
?b  commonbloc2  ?a  ?a  relexports  ?b   => ?a  embassy  ?b	0.09	0.75	0.75	9	12	12	-1
?b  commonbloc2  ?a  ?a  conferences  ?b   => ?a  embassy  ?b	0.1	0.588235294	0.588235294	10	17	17	-1
?a  booktranslations  ?b  ?b  commonbloc2  ?a   => ?a  embassy  ?b	0.04	0.666666667	0.666666667	4	6	6	-1
?b  commonbloc2  ?a  ?a  reltreaties  ?b   => ?a  embassy  ?b	0.06	0.6	0.6	6	10	10	-1
?b  commonbloc2  ?a  ?a  treaties  ?b   => ?a  embassy  ?b	0.06	0.666666667	0.666666667	6	9	9	-1
?b  commonbloc2  ?a  ?a  tourism3  ?b   => ?a  embassy  ?b	0.03	0.6	0.6	3	5	5	-1
?b  commonbloc2  ?a  ?a  nonviolentbehavior  ?b   => ?a  embassy  ?b	0.03	0.75	0.75	3	4	4	-1
?b  commonbloc2  ?a  ?a  relstudents  ?b   => ?a  embassy  ?b	0.03	0.6	0.6	3	5	5	-1
?b  commonbloc2  ?a  ?a  students  ?b   => ?a  embassy  ?b	0.03	0.6	0.6	3	5	5	-1
?b  commonbloc2  ?a  ?a  negativebehavior  ?b   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?b  commonbloc2  ?a  ?a  exports3  ?b   => ?a  embassy  ?b	0.06	0.75	0.75	6	8	8	-1
?b  commonbloc2  ?a  ?a  dependent  ?b   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?a  boycottembargo  ?b  ?b  commonbloc2  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  commonbloc2  ?a  ?b  exports3  ?a   => ?a  embassy  ?b	0.06	0.75	0.75	6	8	8	-1
?b  commonbloc2  ?a  ?b  relexportbooks  ?a   => ?a  embassy  ?b	0.04	0.571428571	0.571428571	4	7	7	-1
?b  commonbloc2  ?a  ?b  economicaid  ?a   => ?a  embassy  ?b	0.03	1	1	3	3	3	-1
?b  commonbloc2  ?a  ?b  negativebehavior  ?a   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?b  commonbloc2  ?a  ?b  releconomicaid  ?a   => ?a  embassy  ?b	0.02	1	1	2	2	2	-1
?b  commonbloc2  ?a  ?b  militaryalliance  ?a   => ?a  embassy  ?b	0.08	0.8	0.8	8	10	10	-1
?b  boycottembargo  ?a  ?b  commonbloc2  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  commonbloc2  ?a  ?b  unoffialacts  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  negativebehavior  ?a  ?a  negativebehavior  ?b   => ?a  embassy  ?b	0.15	0.75	0.75	15	20	20	-1
?b  negativebehavior  ?a  ?a  weightedunvote  ?b   => ?a  embassy  ?b	0.09	0.818181818	0.818181818	9	11	11	-1
?a  intergovorgs  ?b  ?b  negativebehavior  ?a   => ?a  embassy  ?b	0.1	0.714285714	0.714285714	10	14	14	-1
?b  negativebehavior  ?a  ?a  timesinceally  ?b   => ?a  embassy  ?b	0.09	0.692307692	0.692307692	9	13	13	-1
?a  commonbloc1  ?b  ?b  negativebehavior  ?a   => ?a  embassy  ?b	0.09	0.75	0.75	9	12	12	-1
?b  negativebehavior  ?a  ?a  pprotests  ?b   => ?a  embassy  ?b	0.09	0.818181818	0.818181818	9	11	11	-1
?b  negativebehavior  ?a  ?a  treaties  ?b   => ?a  embassy  ?b	0.09	0.692307692	0.692307692	9	13	13	-1
?a  conferences  ?b  ?b  negativebehavior  ?a   => ?a  embassy  ?b	0.08	0.666666667	0.666666667	8	12	12	-1
?b  negativebehavior  ?a  ?a  negativecomm  ?b   => ?a  embassy  ?b	0.08	0.727272727	0.727272727	8	11	11	-1
?b  negativebehavior  ?a  ?a  ngo  ?b   => ?a  embassy  ?b	0.08	0.727272727	0.727272727	8	11	11	-1
?a  intergovorgs3  ?b  ?b  negativebehavior  ?a   => ?a  embassy  ?b	0.08	0.666666667	0.666666667	8	12	12	-1
?a  independence  ?b  ?b  negativebehavior  ?a   => ?a  embassy  ?b	0.08	0.727272727	0.727272727	8	11	11	-1
?a  commonbloc0  ?b  ?b  negativebehavior  ?a   => ?a  embassy  ?b	0.07	0.7	0.7	7	10	10	-1
?a  boycottembargo  ?b  ?b  negativebehavior  ?a   => ?a  embassy  ?b	0.07	1	1	7	7	7	-1
?b  negativebehavior  ?a  ?a  officialvisits  ?b   => ?a  embassy  ?b	0.07	1	1	7	7	7	-1
?b  negativebehavior  ?a  ?a  reldiplomacy  ?b   => ?a  embassy  ?b	0.06	0.75	0.75	6	8	8	-1
?b  negativebehavior  ?a  ?a  nonviolentbehavior  ?b   => ?a  embassy  ?b	0.06	0.666666667	0.666666667	6	9	9	-1
?b  negativebehavior  ?a  ?a  tourism  ?b   => ?a  embassy  ?b	0.05	1	1	5	5	5	-1
?b  negativebehavior  ?a  ?a  relexportbooks  ?b   => ?a  embassy  ?b	0.03	1	1	3	3	3	-1
?b  negativebehavior  ?a  ?a  relexports  ?b   => ?a  embassy  ?b	0.03	1	1	3	3	3	-1
?a  militaryalliance  ?b  ?b  negativebehavior  ?a   => ?a  embassy  ?b	0.03	1	1	3	3	3	-1
?b  negativebehavior  ?a  ?a  reltourism  ?b   => ?a  embassy  ?b	0.03	1	1	3	3	3	-1
?b  negativebehavior  ?a  ?a  unweightedunvote  ?b   => ?a  embassy  ?b	0.03	0.75	0.75	3	4	4	-1
?a  expeldiplomats  ?b  ?b  negativebehavior  ?a   => ?a  embassy  ?b	0.03	1	1	3	3	3	-1
?b  negativebehavior  ?a  ?a  unoffialacts  ?b   => ?a  embassy  ?b	0.03	1	1	3	3	3	-1
?a  exports3  ?b  ?b  negativebehavior  ?a   => ?a  embassy  ?b	0.03	0.75	0.75	3	4	4	-1
?a  commonbloc2  ?b  ?b  negativebehavior  ?a   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?b  negativebehavior  ?a  ?a  releconomicaid  ?b   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?b  negativebehavior  ?a  ?a  students  ?b   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?b  negativebehavior  ?a  ?a  tourism3  ?b   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  negativebehavior  ?a  ?b  pprotests  ?a   => ?a  embassy  ?b	0.1	0.909090909	0.909090909	10	11	11	-1
?b  booktranslations  ?a  ?b  negativebehavior  ?a   => ?a  embassy  ?b	0.09	0.818181818	0.818181818	9	11	11	-1
?b  negativebehavior  ?a  ?b  negativecomm  ?a   => ?a  embassy  ?b	0.1	0.769230769	0.769230769	10	13	13	-1
?b  negativebehavior  ?a  ?b  relbooktranslations  ?a   => ?a  embassy  ?b	0.09	0.9	0.9	9	10	10	-1
?b  boycottembargo  ?a  ?b  negativebehavior  ?a   => ?a  embassy  ?b	0.06	1	1	6	6	6	-1
?b  negativebehavior  ?a  ?b  relexports  ?a   => ?a  embassy  ?b	0.05	0.833333333	0.833333333	5	6	6	-1
?b  negativebehavior  ?a  ?b  officialvisits  ?a   => ?a  embassy  ?b	0.05	0.833333333	0.833333333	5	6	6	-1
?b  negativebehavior  ?a  ?b  tourism  ?a   => ?a  embassy  ?b	0.04	0.8	0.8	4	5	5	-1
?b  exports3  ?a  ?b  negativebehavior  ?a   => ?a  embassy  ?b	0.04	0.8	0.8	4	5	5	-1
?b  negativebehavior  ?a  ?b  students  ?a   => ?a  embassy  ?b	0.03	0.75	0.75	3	4	4	-1
?b  negativebehavior  ?a  ?b  reltourism  ?a   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?b  negativebehavior  ?a  ?b  relstudents  ?a   => ?a  embassy  ?b	0.03	1	1	3	3	3	-1
?b  militaryalliance  ?a  ?b  negativebehavior  ?a   => ?a  embassy  ?b	0.03	1	1	3	3	3	-1
?b  economicaid  ?a  ?b  negativebehavior  ?a   => ?a  embassy  ?b	0.02	1	1	2	2	2	-1
?b  dependent  ?a  ?b  negativebehavior  ?a   => ?a  embassy  ?b	0.02	1	1	2	2	2	-1
?b  negativebehavior  ?a  ?b  tourism3  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?a  intergovorgs  ?b  ?b  relexports  ?a   => ?a  embassy  ?b	0.1	0.714285714	0.714285714	10	14	14	-1
?a  ngoorgs3  ?b  ?b  relexports  ?a   => ?a  embassy  ?b	0.09	0.818181818	0.818181818	9	11	11	-1
?a  independence  ?b  ?b  relexports  ?a   => ?a  embassy  ?b	0.09	0.642857143	0.642857143	9	14	14	-1
?a  ngo  ?b  ?b  relexports  ?a   => ?a  embassy  ?b	0.09	0.692307692	0.692307692	9	13	13	-1
?b  relexports  ?a  ?a  timesinceally  ?b   => ?a  embassy  ?b	0.09	0.642857143	0.642857143	9	14	14	-1
?a  commonbloc1  ?b  ?b  relexports  ?a   => ?a  embassy  ?b	0.08	0.727272727	0.727272727	8	11	11	-1
?b  relexports  ?a  ?a  weightedunvote  ?b   => ?a  embassy  ?b	0.08	0.727272727	0.727272727	8	11	11	-1
?a  militaryalliance  ?b  ?b  relexports  ?a   => ?a  embassy  ?b	0.07	0.636363636	0.636363636	7	11	11	-1
?a  blockpositionindex  ?b  ?b  relexports  ?a   => ?a  embassy  ?b	0.06	0.75	0.75	6	8	8	-1
?a  exports3  ?b  ?b  relexports  ?a   => ?a  embassy  ?b	0.05	0.714285714	0.714285714	5	7	7	-1
?b  relexports  ?a  ?a  timesincewar  ?b   => ?a  embassy  ?b	0.04	1	1	4	4	4	-1
?a  booktranslations  ?b  ?b  relexports  ?a   => ?a  embassy  ?b	0.04	0.8	0.8	4	5	5	-1
?a  pprotests  ?b  ?b  relexports  ?a   => ?a  embassy  ?b	0.03	0.6	0.6	3	5	5	-1
?b  relexports  ?a  ?a  reltreaties  ?b   => ?a  embassy  ?b	0.03	0.6	0.6	3	5	5	-1
?a  boycottembargo  ?b  ?b  relexports  ?a   => ?a  embassy  ?b	0.02	1	1	2	2	2	-1
?a  nonviolentbehavior  ?b  ?b  relexports  ?a   => ?a  embassy  ?b	0.02	1	1	2	2	2	-1
?a  relbooktranslations  ?b  ?b  relexports  ?a   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?a  negativebehavior  ?b  ?b  relexports  ?a   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?a  negativecomm  ?b  ?b  relexports  ?a   => ?a  embassy  ?b	0.02	1	1	2	2	2	-1
?a  dependent  ?b  ?b  relexports  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?a  lostterritory  ?b  ?b  relexports  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  relexports  ?a  ?b  timesincewar  ?a   => ?a  embassy  ?b	0.04	1	1	4	4	4	-1
?b  relexportbooks  ?a  ?b  relexports  ?a   => ?a  embassy  ?b	0.04	0.666666667	0.666666667	4	6	6	-1
?b  negativecomm  ?a  ?b  relexports  ?a   => ?a  embassy  ?b	0.03	1	1	3	3	3	-1
?b  emigrants3  ?a  ?b  relexports  ?a   => ?a  embassy  ?b	0.03	0.6	0.6	3	5	5	-1
?b  economicaid  ?a  ?b  relexports  ?a   => ?a  embassy  ?b	0.03	1	1	3	3	3	-1
?b  releconomicaid  ?a  ?b  relexports  ?a   => ?a  embassy  ?b	0.02	1	1	2	2	2	-1
?b  relemigrants  ?a  ?b  relexports  ?a   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?b  boycottembargo  ?a  ?b  relexports  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?a  commonbloc1  ?b  ?b  exports3  ?a   => ?a  embassy  ?b	0.12	0.857142857	0.857142857	12	14	14	-1
?b  exports3  ?a  ?a  timesinceally  ?b   => ?a  embassy  ?b	0.09	0.692307692	0.692307692	9	13	13	-1
?b  dependent  ?a  ?b  relexports  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  exports3  ?a  ?a  intergovorgs3  ?b   => ?a  embassy  ?b	0.11	0.733333333	0.733333333	11	15	15	-1
?b  exports3  ?a  ?a  weightedunvote  ?b   => ?a  embassy  ?b	0.09	0.9	0.9	9	10	10	-1
?b  exports3  ?a  ?a  ngo  ?b   => ?a  embassy  ?b	0.09	0.75	0.75	9	12	12	-1
?b  exports3  ?a  ?a  ngoorgs3  ?b   => ?a  embassy  ?b	0.09	0.818181818	0.818181818	9	11	11	-1
?b  exports3  ?a  ?a  intergovorgs  ?b   => ?a  embassy  ?b	0.09	0.75	0.75	9	12	12	-1
?b  exports3  ?a  ?a  reltourism  ?b   => ?a  embassy  ?b	0.08	0.888888889	0.888888889	8	9	9	-1
?b  exports3  ?a  ?a  unweightedunvote  ?b   => ?a  embassy  ?b	0.07	0.777777778	0.777777778	7	9	9	-1
